timestamp,num_real,num_fake,learning_rate,dense_units,val_loss,val_accuracy,precision,recall,f1_score,roc_auc,TN,FP,FN,TP,training_time_s
2026-01-10 19:13:10,50,50,0.003289,193,0.587990,0.7000,0.7500,0.6000,0.6667,0.706500,160,40,80,120,8284.07
2026-01-12 06:12:42,100,100,0.010000,216,0.647830,0.5162,0.5122,0.6825,0.5852,0.507569,140,260,127,273,24244.80
2026-01-13 09:58:31,150,150,0.000544,196,0.676845,0.6017,0.5724,0.8033,0.6685,0.591325,240,360,118,482,35517.48
2026-01-26 19:43:33,200,200,0.000100,110,0.669945,0.5637,0.5462,0.7538,0.6334,0.603343,299,501,197,603,76099.50
